newid,state,strtyear,strtmnth,psu,txwgt
04446332,48,2020,3,S37A,42734.4790798361
04446591,48,2020,3,NA,43378.70794421052
04446592,48,2020,3,NA,43378.70794421052
04446621,48,2020,3,NA,53426.83207809989
04446622,48,2020,3,NA,53426.83207809989
04447001,48,2020,3,S37A,59538.41241661652
04447002,48,2020,3,S37A,73590.79796166581
04447711,48,2020,3,NA,54134.8333410812
04447712,48,2020,3,NA,54134.8333410812
04447931,48,2020,3,S37A,38230.469447524425
04447932,48,2020,3,S37A,38230.469447524425
04448101,48,2020,3,S37A,18962.377683462004
04448102,48,2020,3,S37A,18962.377683462004
04448451,48,2020,3,NA,68434.72515855017
04448452,48,2020,3,NA,68434.72515855017
04448771,48,2020,3,S37B,54532.06262479955
04448772,48,2020,3,S37B,54532.06262479955
04449251,48,2020,3,S37B,60405.289320529286
04449252,48,2020,4,S37B,60405.289320529286
04449501,48,2020,3,NA,61276.871180298
04449502,48,2020,3,NA,61276.871180298
04450031,48,2020,3,S37B,59849.32549257048
04450032,48,2020,3,S37B,59849.32549257048
04450481,48,2020,3,S37B,44678.54826912401
04450482,48,2020,3,S37B,44678.54826912401
04451751,48,2020,3,S37B,32940.02432870541
04451752,48,2020,3,S37B,32940.02432870541
04452251,48,2020,3,S37B,32999.20214554829
04452252,48,2020,3,S37B,32999.20214554829
04452811,48,2020,3,S37A,29767.991589167366
04452812,48,2020,4,S37A,29767.991589167366
04453561,48,2020,3,NA,31740.15681403179
04453562,48,2020,3,NA,31740.15681403179
04455111,48,2020,3,NA,86665.43222513892
04455112,48,2020,3,NA,86665.43222513892
04455511,48,2020,3,S37A,45949.286243099894
04455512,48,2020,3,S37A,45949.286243099894
04455731,48,2020,3,S37A,22518.111486979116
04455732,48,2020,3,S37A,22518.111486979116
04455851,48,2020,3,NA,82398.3172982906
04455852,48,2020,3,NA,82398.3172982906
04456021,48,2020,3,NA,36529.83943276999
04456022,48,2020,3,NA,36529.83943276999
04456881,48,2020,3,S37B,65583.37245154331
04456882,48,2020,3,S37B,65583.37245154331
04456891,48,2020,3,NA,35213.71023981413
04456892,48,2020,3,NA,35213.71023981413
04458411,48,2020,3,NA,55037.13165127551
04458412,48,2020,3,NA,55037.13165127551
04458641,48,2020,3,S37A,43874.35163972176
04458642,48,2020,3,S37A,43874.35163972176
04459021,48,2020,3,S37A,50732.459853734115
04459022,48,2020,3,S37A,50732.459853734115
04459151,48,2020,3,NA,42445.552650619175
04459152,48,2020,3,NA,42445.552650619175
04459321,48,2020,3,S37A,18677.73687167906
04459322,48,2020,3,S37A,18677.73687167906
04460411,48,2020,3,NA,64735.65252513106
04460412,48,2020,3,NA,64735.65252513106
